24 Jul 2014 12:30:36,939 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Miniporta de rede remota (Monitor de rede) - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:36,939 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Miniporta de rede remota (IP) - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:36,939 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Microsoft Virtual WiFi Miniport Adapter #2 - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:36,939 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Adaptador de Miniporta WiFi Virtual da Microsoft - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:36,939 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Intel(R) Centrino(R) Advanced-N 6230 - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:36,940 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Realtek PCIe GBE Family Controller - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:36,940 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Cisco Systems VPN Adapter for 64-bit Windows
24 Jul 2014 12:30:36,940 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: Cisco Systems VPN Adapter for 64-bit Windows - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:36,940 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: HUAWEI Mobile Connect - Network Card
24 Jul 2014 12:30:36,940 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device
24 Jul 2014 12:30:36,940 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device - Deterministic Network Enhancer Miniport
24 Jul 2014 12:30:36,940 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device #2
24 Jul 2014 12:30:36,941 DEBUG [ModuliStateChanged|MulticastUDPReceiver] Filtered network interface: SAMSUNG Mobile USB Remote NDIS Network Device #2 - Deterministic Network Enhancer Miniport
